,attributevalue,count,normalized_attributevalue,synonyms
211,Churidar Kurta Sets,848,churidar kurta sets style,"[('Churidar Kurta Combos', 0.739), ('Churidar Kurta Ensembles', 0.709), ('Churidar Kurta Suits', 0.705), ('Churidar Kurta Outfits', 0.65)]"
212,Onesies,835,onesies style,"[('Unitards', 0.744), ('Romper Suits', 0.69), ('All-in-ones', 0.57), ('Jumpsuits', 0.335)]"
213,Baseball Caps,816,baseball caps style,"[('Baseball hats ', 0.709), ('Snapbacks ', 0.412), ('Trucker hats ', 0.401), ('Visors ', 0.3)]"
214,Hand & Face Towels,807,hand face towels style,"[('Handkerchiefs ', 0.652)]"
215,Shoe-Style,807,shoe style style,"[('Shoe look', 0.76), ('Shoe design', 0.729), ('Footwear fashion', 0.63), ('Footwear trend', 0.611)]"
216,Skirt & Top Sets,802,skirt top sets style,"[('Skirt and Tee Coordinates', 0.764), ('Skirt and Blouse Combos', 0.764), ('Skirt and Top Outfits', 0.719)]"
217,"Card Holders, CardHolder",792,card holders style,"[('Card carriers ', 0.719), ('Card cases ', 0.679), ('Card wallets ', 0.609), ('Card purses ', 0.571)]"
218,Training,788,training style,"[('Garment guidance', 0.506), ('Clothing education', 0.503), ('Apparel tutelage', 0.499), ('Fashion instruction', 0.433)]"
219,Stackable,787,stackable style,"[('Piled-On Style', 0.778), ('Layered Look', 0.739), ('Strata Style', 0.712), ('Multi-Level Look', 0.697)]"
220,Trousers & Pants,786,trousers pants style,"[('Breeches', 0.711)]"
221,Trousers,784,trousers style,"[('Slacks', 0.703), ('Breeches', 0.697), ('Pant Style', 0.667), ('Legwear', 0.561)]"
222,"Cargo, Cargos",783,cargo style,"[('Freightwear', 0.718), ('Load-bearing Look', 0.668), ('Haulage Chic', 0.617), ('Delivery Dress', 0.498)]"
223,Trolley,770,trolley style,"[('Baggage-style', 0.658), ('Cart-style', 0.628), ('Handcart-style', 0.607), ('Pushcart-style', 0.56)]"
224,"Travel Wallets, Travel Wallet",765,travel wallet style,"[('Journey Bag ', 0.666), ('Tourist Purse ', 0.615), ('Voyage Clutch ', 0.612), ('Expedition Pouch ', 0.594)]"
225,Multi,763,multi style,"[('Mixed Mode', 0.812), ('Varied Look', 0.769), ('Eclectic Outfit', 0.665), ('Assorted Garb', 0.616)]"
226,Blankets & Throws,762,blankets throws style,"[('Spreads, Quilts, Blankets', 0.675), ('Coverings, Wraps, Garments', 0.55), ('Textiles, Fabrics, Materials', 0.55), ('Designs, Patterns, Fashions', 0.451)]"
227,Oval,733,oval style,"[('Elliptical Design', 0.691), ('Ovoid Look', 0.635), ('Egg-Shaped Outfit', 0.511)]"
228,Swimsuits,723,swimsuits style,"[('Bathing suits ', 0.669), ('Swimwear ', 0.657), ('Bikinis ', 0.599), ('Tankinis ', 0.558)]"
229,Vases,720,vases style,"[('Jars Look', 0.632), ('Crocks Style', 0.616), ('Vessels Design', 0.546), ('Urns Mode', 0.509)]"
230,Tumblers & Glasses,718,tumblers glasses style,"[('Tumblers Shades Style', 0.769), ('Tumblers Spectacles Design', 0.703), ('Tumblers Eyewear Fashion', 0.611), ('Tumblers Goggles Mode', 0.573)]"
231,Pleat Front,718,pleat front style,"[('Gathered Front ', 0.699), ('Accordion Pleats ', 0.548), ('Pleated Skirt ', 0.545), ('Knife Pleats ', 0.478)]"
232,"Sling-backs, Sling-back",717,sling back style,[]
233,Plant Pots & Trays,716,plant pots trays style,"[('Flowerpots ', 0.672), ('Plant holders ', 0.671), ('Planter boxes ', 0.62), ('Containers ', 0.436)]"
234,Cargo Shorts,714,cargo shorts style,"[(‘Cargo Knee-Lengths', 0.633), ('Cargo Cut-Offs', 0.632), ('Cargo Bermudas', 0.517)]"
235,Boyshorts,706,boyshorts style,[]
236,"Chokers, Choker",703,chokers style,[]
237,Beanies,700,beanies style,"[('Skullcaps', 0.552), ('Toques', 0.537), ('Knit Caps', 0.487), ('Visors', 0.425)]"
238,Tapered,695,tapered style,"[('Narrow-cut', 0.696), ('Tailored', 0.633)]"
239,Empire,693,empire style,"[('Imperialistic Style', 0.79), ('Imperial Look', 0.764), ('Regal Design', 0.628), ('Monarchical Mode', 0.623)]"
240,"Jacket, Jackets",690,jackets style,"[('Outerwear', 0.555), ('Windbreakers', 0.508)]"
241,Lounge Sets,689,lounge sets style,"[('Loungewear ensembles', 0.621), ('Comfortwear', 0.465)]"
242,Hair Pins,681,hair pins style,"[('Hair Clips ', 0.74), ('Hair Grips ', 0.71), ('Hair Slides ', 0.617), ('Bobby Pins ', 0.524)]"
243,Dungarees & Overalls,665,dungarees overalls style,"[('Dungaree Romper', 0.757), ('Coveralls', 0.439), ('Boiler Suit', 0.407), ('Denim Jumpsuit', 0.341)]"
244,Dhotis,658,dhotis style,"[('Sarong style', 0.582), ('Dhoti wrap', 0.579), ('Lungi style', 0.566), ('Dhoti skirt', 0.501)]"
245,"Multi-purpose Pouches, Multi-Purpose Pouches, Multi-purpose pouch",655,multi purpose pouch style,"[('Multi-Functional Pocket', 0.754), ('Versatile Pouch', 0.569), ('All-in-One Bag', 0.554), ('Adaptable Carrier', 0.52)]"
246,Denim Shorts,654,denim shorts style,"[('Denim cut-offs', 0.783), ('Jean shorts', 0.738), ('Jeans cut-offs', 0.728), ('Denim Bermudas', 0.72)]"
247,Mattress Protectors,654,mattress protectors style,"[('Mattress Shrouds', 0.803), ('Mattress Sheaths', 0.78), ('Mattress Coverings', 0.77), ('Mattress Wraps', 0.751)]"
248,Pillow Covers,644,pillow covers style,"[('Throw Pillow Styles', 0.823), ('Pillowcase Fashion', 0.822), ('Bolster Slipcovers', 0.582)]"
249,Circular,644,circular style,"[('Circular cut', 0.766), ('Rotund shape', 0.762), ('Spherical design', 0.586), ('Round silhouette', 0.547)]"
250,Bath Rugs & Mats,641,bath rugs mats style,"[('Area Rugs', 0.604), ('Floor Coverings', 0.57), ('Carpeting', 0.569), ('Runners', 0.352)]"
251,"G-String & Thong, G-Strings & Thongs",630,g strings thongs style,"[('G-string underwear', 0.756), ('Thong underwear', 0.736), ('Panties', 0.617), ('Bikini bottoms', 0.51)]"
252,Cups & Saucers,614,cups saucers style,"[('Beakers and Trays', 0.663), ('Chalices and Platters', 0.595), ('Goblets and Plates', 0.566), ('Goblets and Dishes', 0.563)]"
253,Oversized,604,oversized style,"[('Exaggerated fashion', 0.759), ('Overemphasized look', 0.728), ('Enlarged silhouette', 0.679), ('Amplified design', 0.626)]"
254,Pendant & Earings,602,pendant earings style,"[('Drop Earrings', 0.58), ('Dangling Earrings', 0.547), ('Hoop Earrings', 0.47), ('Chandelier Earrings', 0.449)]"
255,Bottles & Flasks,595,bottles flasks style,[]
256,Mules,595,mules style,"[('Mules Look', 0.723, ('Backless Shoes', 0.559)]"
257,Push up & Heavily padded,586,push up heavily padded style,"[('Elevate heavily stuffed style', 0.841), ('Increase heavily padded design', 0.823), ('Boost up heavily cushioned look', 0.777), ('Lift up heavily quilted fashion', 0.74)]"
258,Coverups,582,coverups style,"[('Disguise fashion', 0.763), ('Masking fashion', 0.705), ('Concealment fashion', 0.685), ('Camouflage fashion', 0.67)]"
259,Minimiser & Total support,578,minimiser total support style,"[('Diminish total backing fashion', 0.71), ('Cut back on comprehensive styling', 0.696), ('Reduce comprehensive styling', 0.657), ('Decrease overall backing look', 0.586)]"
260,"Kaftan, Kaftans",577,kaftans style,"[('Kaftan look', 0.779), ('Kaftan design', 0.715), ('Kaftan silhouette', 0.707), ('Kaftan cut', 0.695)]"
261,Artificial Plants & Flowers,576,artificial plants flowers style,"[('Imitation Bouquets', 0.739), ('Synthetic Floral Accoutrements', 0.716), ('Fabricated Flora', 0.651), ('Man-made Blossoms', 0.627)]"
262,Bedding Sets,571,bedding sets style,"[('Bedspread Designs', 0.728), ('Bedclothes Fashions', 0.7), ('Bedding Ensembles', 0.674), ('Bed Linen Styles', 0.671)]"
263,Accessories,568,accessories style,"[('Accoutrements ', 0.687), ('Adornments ', 0.649), ('Apparel ', 0.618), ('Attire ', 0.614)]"
264,Ankle Socks,558,ankle socks style,"[('Quarter socks', 0.699), ('Low-cut socks', 0.688), ('Ankle-length hosiery', 0.634), ('Footlets', 0.59)]"
265,"Babydoll & Panty, Baby Doll & Panty",551,baby doll panty style,[]
266,Pencil,541,pencil style,"[('Pencil Cut', 0.746)]"
267,Nursing,506,nursing style,"[('Nursing fashion', 0.702), ('Nursing wear', 0.701), ('Maternity wear', 0.517), ('Breastfeeding apparel', 0.381)]"
268,Aprons,506,aprons style,"[('Apron-cut', 0.713), ('Smock-style', 0.648), ('Overalls-style', 0.552), ('Bib-style', 0.525)]"
269,Bootcut,505,bootcut style,"[('Trouser jeans', 0.502), ('Flared jeans', 0.487), ('Bell bottoms', 0.482), ('Wide-leg jeans', 0.445)]"
270,Messenger Bags,504,messenger bags style,"[('Courier Bags', 0.78), ('Crossbody Bags', 0.74)]"
271,"Tshirt & Capris, T-shirt & Capris",504,t shirt capris style,[]
272,Mid-calf,503,mid calf style,"[('Ankle-skimming silhouette', 0.563), ('Mid-length cut', 0.548), ('Knee-length hem', 0.509), ('Midi-length skirt', 0.4)]"
273,Non padded,503,non padded style,[]
274,"Tri-fold, Tri-folds, Tri-Folds",500,tri fold style,[]
275,"Stretch Bracelets, Stretch Bracelet",500,stretch bracelets style,"[('Wrap Bracelets', 0.679), ('Cuff Bracelets', 0.649), ('Slap Bracelets', 0.631), ('Bangle Bracelets', 0.61)]"
276,Wall Stickers & Posters,499,wall stickers posters style,"[('Wall Decals', 0.74), ('Wall Murals', 0.723), ('Wall Graphics', 0.715)]"
277,Wide belt,494,wide belt style,"[('Cummerbund', 0.678), ('Waistband', 0.66), ('Broad sash', 0.636), ('Girdle', 0.63)]"
278,"Messengers, Messenger",491,messengers style,"[('Courier Look', 0.751), ('Delivery Attire', 0.579), ('Postman Outfit', 0.558), ('Cycle Chic', 0.43)]"
279,Cotton & Non padded,486,cotton non padded style,"[('Unstuffed Style', 0.726), ('Unpadded Look', 0.682), ('Unfilled Look', 0.663), ('Unstuffed Look', 0.66)]"
280,"Tracksuit Sets, Tracksuit+Sets",486,tracksuit sets style,"[('Athleisure looks ', 0.652), ('Sweatsuit outfits ', 0.467), ('Sporty chic apparel ', 0.43), ('Jogging suit ensembles ', 0.405)]"
281,Kalidar,485,kalidar style,"[('Anarkali', 0.683)]"
282,"Beginner's, Beginners",483,beginner s style,"[('Novice Look', 0.761), ('Starter Outfit', 0.655), ('Amateur Attire', 0.607), ('Inexperienced Garb', 0.605)]"
283,Loafers,481,loafers style,"[('Slip-ons', 0.656), ('Moccasins', 0.552), ('Driving shoes', 0.422), ('Boat shoes', 0.395)]"
284,Bralette,475,bralette style,[]
285,"Tubes & Corsets, Tube & Corset",467,tubes corsets style,"[('Tight-fitting apparel', 0.489), ('Waist-cinching attire', 0.479), ('Body-hugging garments', 0.431), ('Form-fitting clothing', 0.36)]"
286,"Thin Bangles, Thin Bangle",465,thin bangles style,"[('Slender bangles design', 0.768)]"
287,Trucker & Denim,446,trucker denim style,"[('Lorry Driver Denim Look', 0.84), ('Hauler Jeans Style', 0.784), ('Long Hauler Denim Style', 0.718), ('Big Rig Denim Fashion', 0.661)]"
288,Bath Mat Sets,445,bath mat sets style,"[('Toilet Floor Coverings', 0.674), ('Bathroom Rug Combos', 0.626), ('Vanity Flooring Ensembles', 0.605), ('Lavatory Carpet Suites', 0.534)]"
289,Brazillian,429,brazillian style,"[('Brazilian Chic', 0.702), ('Samba Style', 0.627), ('Copacabana Look', 0.519), ('Tropical Trend', 0.466)]"
290,Idols,418,idols style,"[('Style Stars', 0.55), ('Trendsetters', 0.44), ('Fashion Icons', 0.367), ('Catwalk Queens', 0.327)]"
291,Knitted,408,knitted style,"[('Crocheted ', 0.641), ('Woven ', 0.62), ('Interwoven ', 0.599), ('Braided ', 0.59)]"
292,Block Heels,406,block heels style,"[(‘Chunky Heels’, 0.741)]"
293,"Necklace & Earrings, Necklace & Earring",404,necklace earrings style,"[('Jewellery ensemble', 0.627), ('Jewellery combination', 0.614), ('Jewellery adornment', 0.577), ('Jewellery set', 0.57)]"
294,Oxfords,403,oxfords style,"[('Balmorals', 0.64), ('Derbies', 0.631), ('Brogues', 0.607), ('Wingtips', 0.384)]"
295,Thermal Sets,402,thermal sets style,"[('Thermal fashion', 0.738), ('Heat-influenced look', 0.726), ('Heat-activated styling', 0.697), ('Temperature-controlled look', 0.627)]"
296,Foundation,402,foundation style,"[('Base Layer', 0.702)]"
297,Brooches,400,brooches style,"[('Brooches ', 0.649), ('Pins ', 0.581), ('Clasps ', 0.54), ('Fasteners ', 0.491)]"
298,Stationery Organisers,398,stationery organisers style,"[('Stationery Organizers Look', 0.743), ('Stationery Organizers Trend', 0.708), ('Stationery Organizers Design', 0.676), ('Stationery Organizers Fashion', 0.664)]"
299,Laundry Baskets & Dryers,397,laundry baskets dryers style,"[('Laundry Hamper Apparel', 0.809), ('Washing Machine Wear', 0.672), ('Ironing Board Outfits', 0.626), ('Clothesline Fashions', 0.604)]"
300,"Churidars, Churidar",396,churidar style,"[('Churidar Pyjama', 0.399)]"
301,Wall Shelves,395,wall shelves style,"[('Wall-mounted storage', 0.672), ('Wall-mounted racks', 0.652), ('Wall-mounted wardrobe', 0.587), ('Wall-mounted closet', 0.544)]"
302,"Backpack, Backpacks",392,backpacks style,"[('Knapsacks', 0.635), ('Packsacks', 0.63), ('Rucksacks', 0.628)]"
303,Multi Strap,391,multi strap style,"[('Layered Straps', 0.717), ('Crossed Straps', 0.695), ('Interwoven Straps', 0.662), ('Multiple Band Design', 0.631)]"
304,Gillets,391,gillets style,"[('Vest', 0.551), ('Jacket', 0.53), ('Waistcoat', 0.472), ('Cardigan', 0.403)]"
305,"Wristlet, Wristlets",389,wristlet style,"[('Wristlet Look', 0.798), ('Wristlet Style Statement', 0.786), ('Wristlet Design', 0.775), ('Wristlet Fashion', 0.768)]"
306,Super Skinny,388,super skinny style,[]
307,Thermal Vests,387,thermal vests style,"[('Thermal wear', 0.721), ('Heat-retaining garments', 0.689), ('Temperature-regulating clothing', 0.624), ('Insulated apparel', 0.609)]"
308,"Salwar, Salwars",375,salwar style,"[('Dhoti-style', 0.612), ('Patiala', 0.601)]"
309,Tie-Up,369,tie up style,"[('Cinched', 0.725), ('Belted', 0.66), ('Sarong', 0.598), ('Wrap dress', 0.473)]"
310,Cutlery Sets & Holders,369,cutlery sets holders style,"[('Cutlery Carriers', 0.69), ('Utensil Organizers', 0.634), ('Tableware Storage', 0.524), ('Flatware Containers', 0.459)]"
311,Open,366,open style,[]
312,Brushes,366,brushes style,"[('Tresses', 0.557), ('Hairdos', 0.522), ('Manes', 0.48), ('Coiffure', 0.468)]"
313,Sharara,364,sharara style,"[('Layered Skirt', 0.432)]"
314,Body Shaper,362,body shaper style,"[('Slimming', 0.542)]"
315,Laptop,360,laptop style,"[('Computer', 0.68)]"
316,"Caps, Capes",358,caps style,"[('Lids', 0.635), ('Hats', 0.611), ('Toppers', 0.573), ('Headgear', 0.542)]"
317,Primer & Concealer,355,primer concealer style,"[('Base Makeup', 0.717)]"
318,Socks,354,socks style,"[('Stockings', 0.565), ('Footwear', 0.49), ('Legwear', 0.465), ('Hosiery', 0.444)]"
319,Sherwani Sets,353,sherwani sets style,"[('Sherwani designs', 0.773), ('Sherwani looks', 0.754), ('Sherwani ensembles', 0.683), ('Sherwani fashion', 0.678)]"
320,Shadow & Dust,346,shadow dust style,"[('Obscure dust style', 0.809), ('Gloomy powder fashion', 0.766), ('Dim dust look', 0.72), ('Shade powder pattern', 0.656)]"
321,Angrakha,344,angrakha style,"[('Churidar', 0.737), ('Dhoti Kurta', 0.702), ('Kurti', 0.695), ('Sherwani', 0.665)]"
322,"Wristbands, Wristband",342,wristbands style,"[('Bracelets ', 0.65), ('Cuffs ', 0.639), ('Armlets ', 0.58), ('Bands ', 0.527)]"
323,Biker,341,biker style,"[('Motorcycle Look', 0.68), ('Biker Chic', 0.676), ('Two-Wheeler Fashion', 0.472), ('Cruiser Wear', 0.464)]"
324,"Pendant & Earrings, Pendant & Earring",339,pendant earrings style,"[('Dangling Earrings', 0.768), ('Drop Earrings', 0.746), ('Hoop Earrings', 0.69), ('Chandelier Earrings', 0.656)]"
325,"Ear Cuffs, Ear Cuff",338,ear cuffs style,"[('Ear wraps style', 0.73), ('Ear wraps', 0.71), ('Earring wraps style', 0.696), ('Earring wraps', 0.691)]"
326,Bed Covers,338,bed covers style,"[('Bedspread designs', 0.794), ('Duvet designs', 0.648), ('Comforter motifs', 0.603), ('Quilt patterns', 0.539)]"
327,Skirt-Suit Sets,330,skirt suit sets style,"[('Outfit', 0.563), ('Costume', 0.561), ('Garb', 0.543), ('Ensemble', 0.417)]"
328,Double Strap,330,double strap style,"[('Dual-Strap Style', 0.831), ('Twin-Strap Design', 0.828), ('Two-Strap Look', 0.79), ('Bi-Strap Fashion', 0.659)]"
329,Trenches & Swings,330,trenches swings style,"[('Furrows Flounces Fashion', 0.739), ('Grooves Gyrations Garb', 0.724), ('Ditches Drapes Design', 0.678), ('Ravines Reels Runway', 0.597)]"
330,Sleepsuits,329,sleepsuits style,[]
331,Foot Covers,328,foot covers style,"[('Footwear', 0.615), ('Shoes', 0.605), ('Slippers', 0.595), ('Sandals', 0.524)]"
332,Short Sets,327,short sets style,"[('Brief attires', 0.786), ('Miniature outfits', 0.688), ('Compact ensembles', 0.682), ('Petite looks', 0.605)]"
333,Low-tops,326,low tops style,"[('Plimsolls', 0.546), ('Sneakers', 0.527), ('Trainers', 0.448), ('Kicks', 0.446)]"
334,No-Show Socks,321,no show socks style,"[('Absentee socks ', 0.878), ('Invisible socks ', 0.833), ('Non-appearing socks ', 0.818), ('Ghost socks ', 0.737)]"
335,"Buckets & Backpacks, Bucket & Backpack",318,buckets backpacks style,"[('Knapsacks ', 0.702), ('Rucksacks ', 0.686), ('Satchels ', 0.659), ('Holdalls ', 0.624)]"
336,Clogs,316,clogs style,"[('Cloggy', 0.678)]"
337,Trolley Bags,308,trolley bags style,"[('Suitcases ', 0.635), ('Shopping bags ', 0.632), ('Carryalls ', 0.604), ('Holdalls ', 0.57)]"
338,Bow Ties,308,bow ties style,"[('Cravat knots', 0.719), ('Necktie knots', 0.703), ('Ascot knots', 0.645), ('Banded collars', 0.595)]"
339,"Foldover clutch, Fold-over Clutches",297,foldover clutch style,"[('Clamshell Clutch', 0.676), ('Flap Bag', 0.605), ('Envelope Purse', 0.472), ('Accordion Purse', 0.437)]"
340,Pleated,294,pleated style,"[('Ruffled ', 0.749), ('Pleated ', 0.74), ('Gathered ', 0.566), ('Fluted ', 0.553)]"
341,Cone Heels,287,cone heels style,"[('Spool Heels', 0.671), ('Wedge Heels', 0.653), ('Platform Heels', 0.594), ('Stiletto Heels', 0.516)]"
342,Computer Glasses,287,computer glasses style,"[('Spectacles for Computers', 0.723), ('Shades for Computers', 0.712), ('Goggles for Computers', 0.673), ('Eyewear for Computers', 0.671)]"
343,Single breasted,284,single breasted style,"[('One-buttoned ', 0.724)]"
344,Tracks & Joggers,283,tracks joggers style,[]
345,Winter Gloves,283,winter gloves style,"[('Icy hand coverings ', 0.743), ('Cold weather mittens ', 0.71), ('Snowy wrist warmers ', 0.687), ('Frosty fingerless mitts ', 0.652)]"
346,Children's & Young Adult,281,children s young adult style,"[('Juvenile fashion', 0.703), ('Teen apparel', 0.652), ('Pre-teen couture', 0.542), ('Youthful clothing', 0.449)]"
347,Stylised Sets,277,stylised sets style,"[('Trendy Outfits', 0.468), ('Fashionable Ensembles', 0.45), ('Glamorous Apparel', 0.433), ('Chic Garments', 0.425)]"
348,Capes & Ponchos,276,capes ponchos style,"[('Cover-ups', 0.593), ('Mantles', 0.503), ('Cloaks', 0.481), ('Wraps', 0.457)]"
349,Patiala,270,patiala style,"[('Patiala Salwar', 0.733), ('Phulkari Suit', 0.686), ('Paranda Suit', 0.642), ('Punjabi Suit', 0.487)]"
350,Table Top Plants,264,table top plants style,"[('Vanity Botanicals', 0.711), ('Countertop Greenery', 0.562), ('Desktop Floral Arrangements', 0.52), ('Shelf Foliage', 0.519)]"
351,Bath Robes,262,bath robes style,[]
352,Boots,262,boots style,"[('Boot look', 0.748), ('Boot fashion', 0.736), ('Boot trend', 0.689), ('Footwear fashion', 0.537)]"
353,Jewellery Organisers,258,jewellery organisers style,"[('Jewelry Arrangers ', 0.724), ('Jewelry Organizers ', 0.713), ('Jewelry Holders ', 0.653), ('Jewelry Displays ', 0.613)]"
354,Key Holders,253,key holders style,"[('Key Fob Fashions ', 0.761), ('Keyring Apparel ', 0.653), ('Keychain Accoutrements ', 0.6), ('Keychain Clothing ', 0.572)]"
355,Liquid Lipstick,252,liquid lipstick style,"[('Stain Lipstick ', 0.856), ('Lacquer Lipstick ', 0.735), ('Sheer Lipstick ', 0.668), ('Glossy Lipstick ', 0.662)]"
356,Butterfly,249,butterfly style,"[('Fluttery', 0.528), ('Floaty', 0.503), ('Flirty', 0.41), ('Airy', 0.352)]"
357,Knitted Tops & Tunics,247,knitted tops tunics style,"[('Knitwear', 0.674), ('Crocheted garments', 0.668)]"
358,"Decorative Pots, Plates & Jars",247,decorative pots plates jars style,"[('Embellished bowls, jars, and flasks', 0.671), ('Ornamental crockery, vessels, and containers', 0.663), ('Adorned dishes, jugs, and receptacles', 0.654), ('Embroidered vessels, jugs, and carafes', 0.611)]"
359,Lapel Pins,247,lapel pins style,"[('Brooch pins', 0.729), ('Boutonniere pins', 0.726), ('Emblem pins', 0.724), ('Badge pins', 0.676)]"
360,Quilt & Duvet Covers,247,quilt duvet covers style,"[('Bedspread Sets', 0.618), ('Comforter Ensembles', 0.591), ('Bedding Collections', 0.582), ('Bed Linen Sets', 0.542)]"
361,Pre-stitched,246,pre stitched style,"[('Pre-sewn Look', 0.767), ('Pre-tailored Design', 0.727), ('Pre-assembled Garment', 0.643), ('Ready-made Outfit', 0.518)]"
362,Liners & Kajal,243,liners kajal style,"[('Kohl-rimmed Eyes', 0.643), ('Smudged Eye Makeup', 0.612), ('Winged Eyeliner', 0.515), ('Eyeliner Pencil Look', 0.448)]"
363,Knee-length,240,knee length style,"[('Skirt length', 0.66), ('Mid-calf cut', 0.608), ('Midi length', 0.596), ('Hemline', 0.592)]"
364,Robes & Wraps,239,robes wraps style,"[('Garments', 0.639), ('Outfits', 0.605), ('Attire', 0.592), ('Apparel', 0.571)]"
365,"Broad Bangle, Broad Bangles",236,broad bangles style,[]
366,"Clip-On, Clip-on, Clip-ons",235,clip on style,"[('Snap-on Style', 0.675), ('Fasten-on Style', 0.633), ('Attachable Style', 0.622), ('Clasp-on Style', 0.598)]"
367,"Silver Pooja articles, Silver Pooja Articles",235,silver pooja articles style,"[('Silver ritualistic accessories ', 0.757), ('Silver ceremonial items ', 0.74), ('Silver religious decorations ', 0.732), ('Silver devotional adornments ', 0.686)]"
368,Duffle Bags,234,duffle bags style,"[('Duffel Bags', 0.783), ('Travel Bags', 0.695), ('Holdalls', 0.653), ('Weekenders', 0.327)]"
369,Holders & Dispensers,234,holders dispensers style,"[('Purveyors', 0.693), ('Providers', 0.581), ('Containers', 0.579), ('Carriers', 0.537)]"
370,Dungaree Sets,231,dungaree sets style,"[('Dungaree fashion ', 0.791), ('Overalls look ', 0.415), ('Jeans outfits ', 0.333), ('Denim ensembles ', 0.326)]"
371,Mobile Sleeves and Cases,226,mobile sleeves and cases style,"[('Cellphone covers', 0.627)]"
372,Duvets & Quilts,226,duvets quilts style,"[('Bedspreads', 0.586), ('Blankets', 0.554), ('Coverlets', 0.519), ('Comforters', 0.484)]"
373,Night Suits,226,night suits style,"[('Black Tie', 0.632), ('Eveningwear', 0.51), ('Formalwear', 0.396), ('Gala Attire', 0.368)]"
374,Travel,218,travel style,"[('Chic Journeying', 0.535), ('Trendy Trekking', 0.471), ('Fashionable Voyage', 0.464), ('Stylish Touring', 0.387)]"
375,"Briefcase, Briefcases",215,briefcases style,"[('Attache bags', 0.676), ('Portfolios', 0.593), ('Document holders', 0.585), ('Valises', 0.543)]"
376,Athletic Socks,213,athletic socks style,"[('Performance Socks', 0.714), ('Running Socks', 0.695), ('Training Socks', 0.687), ('Sporty Socks', 0.679)]"
377,Thermal Leggings,213,thermal leggings style,"[('Heat-trapping leggings', 0.754), ('Thermal trousers', 0.694), ('Heat-retaining trousers', 0.685), ('Insulated pants', 0.634)]"
378,Table Napkins,211,table napkins style,"[('Tablecloth fashion', 0.756), ('Table linen look', 0.708), ('Tableware trend', 0.68), ('Table setting chic', 0.586)]"
379,Pens & Pencils,210,pens pencils style,"[('ting Instruments: markers, crayons, fountain pens, ballpoints, quills, styluses.', 0.702), ('les: trends, fads, modes, looks, designs, aesthetics.', 0.43), ('hion: apparel, garments, attire, clothing, ensembles, outfits, threads.', 0.348)]"
380,Minaudiere,206,minaudiere style,"[('Pouch ', 0.615), ('Wristlet ', 0.507), ('Evening bag ', 0.494), ('Clutch bag ', 0.443)]"
381,Half-rim,205,half rim style,"[('Half-rimmed ', 0.832), ('Half-lens ', 0.826), ('Half-frame ', 0.805), ('Semi-rimmed ', 0.765)]"
382,Shower Curtains,205,shower curtains style,"[('Drapes', 0.562), ('Valances', 0.505), ('Drapery', 0.444), ('Swags', 0.432)]"
383,Semi-stitched Anarkali,203,semi stitched anarkali style,"[('Half-fashioned Anarkali design', 0.835), ('Semi-tailored Anarkali look', 0.774), ('Partially-sewn Anarkali cut', 0.765), ('Half-assembled Anarkali silhouette', 0.743)]"
384,Masks & Peels,202,masks peels style,[]
385,Compact & Loose Powder,198,compact loose powder style,"[('Mini Loose Powder Style', 0.898), ('Compact Loose Powder Design', 0.886), ('Petite Loose Powder Style', 0.847), ('Dainty Loose Powder Look', 0.818)]"
386,Pillows,197,pillows style,[]
387,Pots & Pans,193,pots pans style,"[('Cookware-inspired', 0.606), ('Kitchenware-influenced', 0.556), ('Utensil-inspired', 0.544), ('Culinary-influenced', 0.541)]"
388,Slip-on Sandals,193,slip on sandals style,"[('Thongs', 0.755), ('Flip-flops', 0.642), ('Slides', 0.566), ('Jandals', 0.464)]"
389,Coasters,189,coasters style,[]
390,Woven Tops & Tunics,186,woven tops tunics style,"[('Knitted Tops and Tunics', 0.718), ('Braided Tops and Tunics', 0.705), ('Interlaced Tops and Tunics', 0.691), ('Crocheted Tops and Tunics', 0.675)]"
391,Jugs & Pitchers,184,jugs pitchers style,"[('Flasks', 0.552), ('Decanters', 0.551), ('Flagons', 0.524), ('Carafes', 0.459)]"
392,Blush,184,blush style,"[('Flushed', 0.694), ('Rosy', 0.617), ('Crimson', 0.615), ('Roseate', 0.61)]"
393,Leggings,182,leggings style,"[('Stretch Pants', 0.624), ('Tights', 0.619), ('Pantyhose', 0.55)]"
394,Lip Crayon,182,lip crayon style,"[('Lip Crayon', 0.836), ('Lipstick Stick', 0.688), ('Lip Pencil', 0.685), ('Lipstick Pencil', 0.666)]"
395,"Kamarbands, Kamarband",181,kamarbands style,"[('Girdles style', 0.694), ('Waistbands style', 0.682)]"
396,Moisturisers & Lotions,180,moisturisers lotions style,"[('Hydrating Creams', 0.605)]"
397,"Oils, Balms & Spa",178,oils balms spa style,"[('Unguents, Moisturizers, Trendy Vibe', 0.673), ('Salves, Creams, Chic Style', 0.633), ('Unctions, Emollients, Fashionable Flair', 0.623), ('Ointments, Lotions, Luxury Look', 0.601)]"
398,Skinny belt,177,skinny belt style,"[('Skinny Waistband Style', 0.884), ('Narrow Belt Look', 0.807), ('Thin Belt Fashion', 0.766), ('Slim Belt Design', 0.721)]"
399,Shackets,176,shackets style,"[('Shirt-jacket hybrids', 0.506), ('Oversized shirt-jackets', 0.498), ('Shirt-coat hybrids', 0.481), ('Oversized shirt-coats', 0.459)]"
